strain	date	virus	region	country	host	isolate_id	submitting_lab	originating_lab
A/American_wigeon/North_Carolina/AH0182517/2022	2022-01-08	avian_flu	North America	United States	Avian	EPI_ISL_9880015	National Veterinary Services Laboratories - USDA	USDA-NWRC Wildlife Services
A/mallard/North_Carolina/AH0182886/2022	2022-01-08	avian_flu	North America	United States	Avian	EPI_ISL_9880019	National Veterinary Services Laboratories - USDA	USDA-NWRC Wildlife Services
A/northern_pintail/North_Carolina/AH0182892/2022	2022-01-08	avian_flu	North America	United States	Avian	EPI_ISL_9880021	National Veterinary Services Laboratories - USDA	USDA-NWRC Wildlife Services
A/gadwall/North_Carolina/AH0182894/2022	2022-01-08	avian_flu	North America	United States	Avian	EPI_ISL_9880151	National Veterinary Services Laboratories - USDA	USDA-NWRC Wildlife Services
A/northern_shoveler/North_Carolina/AH0182913/2022	2022-01-08	avian_flu	North America	United States	Avian	EPI_ISL_9880152	National Veterinary Services Laboratories - USDA	USDA-NWRC Wildlife Services
A/American_wigeon/North_Carolina/AH0182954/2022	2022-01-08	avian_flu	North America	United States	Avian	EPI_ISL_9880153	National Veterinary Services Laboratories - USDA	USDA-NWRC Wildlife Services
A/chicken/Maryland/22-006578-001-original/2022	2022-03-03	avian_flu	North America	United States	Avian	EPI_ISL_11897507	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/chicken/Maryland/22-006578-002-original/2022	2022-03-03	avian_flu	North America	United States	Avian	EPI_ISL_11897508	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/chicken/Missouri/22-006639-001-original/2022	2022-03-03	avian_flu	North America	United States	Avian	EPI_ISL_11897667	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/turkey/South_Dakota/22-006792-001-original/2022	2022-03-04	avian_flu	North America	United States	Avian	EPI_ISL_11897668	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/turkey/South_Dakota/22-006792-002-original/2022	2022-03-04	avian_flu	North America	United States	Avian	EPI_ISL_11897669	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/turkey/Iowa/22-006795-001-original/2022	2022-03-06	avian_flu	North America	United States	Avian	EPI_ISL_11897670	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/turkey/Iowa/22-006795-002-original/2022	2022-03-06	avian_flu	North America	United States	Avian	EPI_ISL_11897671	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/turkey/Missouri/22-006944-002-original/2022	2022-03-07	avian_flu	North America	United States	Avian	EPI_ISL_11897672	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/chicken/Delaware/22-006945-001-original/2022	2022-03-07	avian_flu	North America	United States	Avian	EPI_ISL_11897673	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/chicken/Delaware/22-006945-002-original/2022	2022-03-07	avian_flu	North America	United States	Avian	EPI_ISL_11897674	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/chicken/Maryland/22-006948-001-original/2022	2022-03-04	avian_flu	North America	United States	Avian	EPI_ISL_11897675	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/chicken/Maryland/22-007086-001-original/2022	2022-03-07	avian_flu	North America	United States	Avian	EPI_ISL_11897676	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/turkey/Missouri/22-007087-001-original/2022	2022-03-08	avian_flu	North America	United States	Avian	EPI_ISL_11897677	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/turkey/Missouri/22-007087-002-original/2022	2022-03-08	avian_flu	North America	United States	Avian	EPI_ISL_11897678	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/chicken/Maryland/22-007273-001-original/2022	2022-03-08	avian_flu	North America	United States	Avian	EPI_ISL_11897679	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/chicken/Maryland/22-007273-002-original/2022	2022-03-08	avian_flu	North America	United States	Avian	EPI_ISL_11897680	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/chicken/Iowa/22-007376-001-original/2022	2022-03-10	avian_flu	North America	United States	Avian	EPI_ISL_11897681	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/chicken/Iowa/22-007376-002-original/2022	2022-03-10	avian_flu	North America	United States	Avian	EPI_ISL_11897682	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/guinea_fowl/Illinois/22-007382-001-original/2022	2022-03-09	avian_flu	North America	United States	Avian	EPI_ISL_11897683	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/poultry/Kansas/22-007391-001-original/2022	2022-03-09	avian_flu	North America	United States	Avian	EPI_ISL_11897684	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/poultry/Kansas/22-007391-002-original/2022	2022-03-09	avian_flu	North America	United States	Avian	EPI_ISL_11897685	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/turkey/Maine/22-007410-001-original/2022	2022-03-10	avian_flu	North America	United States	Avian	EPI_ISL_11897686	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/chicken/Maine/22-007410-002-original/2022	2022-03-10	avian_flu	North America	United States	Avian	EPI_ISL_11897687	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/turkey/South_Dakota/22-007534-001-original/2022	2022-03-11	avian_flu	North America	United States	Avian	EPI_ISL_11897688	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/turkey/South_Dakota/22-007534-002-original/2022	2022-03-11	avian_flu	North America	United States	Avian	EPI_ISL_11897689	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
A/chicken/Wisconsin/22-007545-001-original/2022	2022-03-13	avian_flu	North America	United States	Avian	EPI_ISL_11897690	National Veterinary Services Laboratories - USDA	National Veterinary Services Laboratories - USDA
