strain	date	virus	region	country	host	isolate_id	submitting_lab	originating_lab
A/Goose/Argentina/389-1/2023	2023-02-11	avian_flu	South America	Argentina	Avian	EPI_ISL_18698459	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/goose/Argentina/SENASA-140223/2023	2023-02-11	avian_flu	South America	Argentina	Avian	EPI_ISL_17950994	?	?
A/goose/Araucania/239189-1/2023	2023-02-28	avian_flu	South America	Chile	Avian	EPI_ISL_17885869	?	?
A/goose/Argentina/140223/2023	2023-02-11	avian_flu	South America	Argentina	Avian	EPI_ISL_17527083	?	?
A/gull/Maule/SJCEIRR-2343291/2023	2023-01-26	avian_flu	South America	Chile	Avian	EPI_ISL_18777130	Center of Excellence for Influenza Research and Surveillance	Center of Excellence for Influenza Research and Surveillance
A/brown-hooded_gull/Los_Rios/SJCEIRR-2470941/2023	2023-04-04	avian_flu	South America	Chile	Avian	EPI_ISL_18760072	Center of Excellence for Influenza Research and Surveillance	Center of Excellence for Influenza Research and Surveillance
A/brown-hooded_gull/Los_Rios/SJCEIRR-2470931/2023	2023-04-04	avian_flu	South America	Chile	Avian	EPI_ISL_18760071	Center of Excellence for Influenza Research and Surveillance	Center of Excellence for Influenza Research and Surveillance
A/Belcher_gull/Peru/UNMSM-A267/2022	2022-12	avian_flu	South America	Peru	Avian	EPI_ISL_18371664	?	?
A/kelp_gull/Maule/239349/2023	2023-03-01	avian_flu	South America	Chile	Avian	EPI_ISL_17885972	?	?
A/gray_gull/Tarapaca/232825-1/2023	2023-01-18	avian_flu	South America	Chile	Avian	EPI_ISL_17885951	?	?
A/gull/Peru/LIM-INS-006/2023	2023-03-16	avian_flu	South America	Peru	Avian	EPI_ISL_17777527	Instituto Nacional de Salud Peru	Laboratorio de Virus Respiratorios, Centro Nacional de Salud Publica
A/Gull/Chile/7023-2/2022	2022-12-07	avian_flu	South America	Chile	?	EPI_ISL_17011964	?	?
A/Gull/Chile/7023-3/2022	2022-12-07	avian_flu	South America	Chile	?	EPI_ISL_17011958	?	?
A/black_skimmer/Chile/C61962/2022	2022-12-02	avian_flu	South America	Chile	Avian	EPI_ISL_16891402	?	?
A/black-necked_swan/Los_Rios/SJCEIRR-2472921/2023	2023-04-05	avian_flu	South America	Chile	Avian	EPI_ISL_18760070	Center of Excellence for Influenza Research and Surveillance	Center of Excellence for Influenza Research and Surveillance
A/black-necked_swan/Uruguay/UDELAR-014-M3/2023	2023-02-18	avian_flu	South America	Uruguay	Avian	EPI_ISL_18310958	?	?
A/black-necked_swan/Uruguay/UDELAR-078-M2/2023	2023-03-15	avian_flu	South America	Uruguay	Avian	EPI_ISL_18310957	?	?
A/turkey/Valparaiso/SJCEIRR-2455621/2023	2023-03-29	avian_flu	South America	Chile	Avian	EPI_ISL_18760063	Center of Excellence for Influenza Research and Surveillance	Center of Excellence for Influenza Research and Surveillance
A/Turkey/Argentina/1711-2/2023	2023-04-19	avian_flu	South America	Argentina	Avian	EPI_ISL_18698514	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Turkey/Argentina/1710-1/2023	2023-04-17	avian_flu	South America	Argentina	Avian	EPI_ISL_18698513	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Turkey/Argentina/1348-3/2023	2023-03-31	avian_flu	South America	Argentina	Avian	EPI_ISL_18698508	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/Turkey/Argentina/753-1/2023	2023-03-04	avian_flu	South America	Argentina	Avian	EPI_ISL_18698497	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Dirección del Laboratorio Animal, Dirección General de Laboratorios y Control Técnico, SENASA.
A/backyard_turkey/Uruguay/UDELAR-124-M6/2023	2023-04-16	avian_flu	South America	Uruguay	Avian	EPI_ISL_18310959	?	?
A/turkey/Araucania/241892-3/2023	2023-03-14	avian_flu	South America	Chile	Avian	EPI_ISL_17885966	?	?
A/turkey/Nuble/240489-1/2023	2023-03-07	avian_flu	South America	Chile	Avian	EPI_ISL_17885964	?	?
A/turkey/Nuble/241568-1/2023	2023-03-10	avian_flu	South America	Chile	Avian	EPI_ISL_17885962	?	?
A/tern/Espirito_Santo/MAPA-1339N2/2023	2023-05-15	avian_flu	South America	Brazil	Avian	EPI_ISL_18755338	Ministerio da Agricultura e Pecuaria	Ministerio da Agricultura e Pecuaria
A/frigatebird/Rio_de_Janeiro/MAPA-1532N/2023	2023-06-03	avian_flu	South America	Brazil	Avian	EPI_ISL_18755251	Ministerio da Agricultura e Pecuaria	Ministerio da Agricultura e Pecuaria
A/peruvian_booby/OHiggins/SJCEIRR-2427551/2023	2023-03-17	avian_flu	South America	Chile	Avian	EPI_ISL_18760067	Center of Excellence for Influenza Research and Surveillance	Center of Excellence for Influenza Research and Surveillance
A/caracara/Coquimbo/SJCEIRR-2423261/2023	2023-03-15	avian_flu	South America	Chile	Avian	EPI_ISL_18760065	Center of Excellence for Influenza Research and Surveillance	Center of Excellence for Influenza Research and Surveillance
A/pelican/Biobio/SJCEIRR-236574/2023	2023-02-13	avian_flu	South America	Chile	Avian	EPI_ISL_18760061	Center of Excellence for Influenza Research and Surveillance	Center of Excellence for Influenza Research and Surveillance
A/peruvian_booby/Antofagasta/SJCEIRR-2361091/2023	2023-02-10	avian_flu	South America	Chile	Avian	EPI_ISL_18690723	Center of Excellence for Influenza Research and Surveillance	Center of Excellence for Influenza Research and Surveillance
A/pelican/Peru/PIU-SER016/2022	2022-11-24	avian_flu	South America	Peru	Avian	EPI_ISL_18265437	Pontificia Universidad Catolica del Peru	Servicio Nacional Forestal y de Fauna Silvestre (SERFOR)
A/pelican/Peru/PIU-SER028/2022	2022-11-24	avian_flu	South America	Peru	Avian	EPI_ISL_18265436	Pontificia Universidad Catolica del Peru	Servicio Nacional Forestal y de Fauna Silvestre (SERFOR)
A/pelican/Peru/PIU-SER019/2022	2022-11-24	avian_flu	South America	Peru	Avian	EPI_ISL_18265435	Pontificia Universidad Catolica del Peru	Servicio Nacional Forestal y de Fauna Silvestre (SERFOR)
A/pelican/Peru/PIU-SER013/2022	2022-11-23	avian_flu	South America	Peru	Avian	EPI_ISL_18265433	Pontificia Universidad Catolica del Peru	Servicio Nacional Forestal y de Fauna Silvestre (SERFOR)
A/peruvian_booby/Peru/LIM-INS-012/2023	2023-04-12	avian_flu	South America	Peru	Avian	EPI_ISL_17777533	Instituto Nacional de Salud Peru	Laboratorio de Virus Respiratorios, Centro Nacional de Salud Publica
A/guanay_cormorant/Peru/CAL-INS-009/2023	2023-03-17	avian_flu	South America	Peru	Avian	EPI_ISL_17777530	Instituto Nacional de Salud Peru	Laboratorio de Virus Respiratorios, Centro Nacional de Salud Publica
A/peruvian_booby/Peru/CAL-INS-008/2023	2023-03-17	avian_flu	South America	Peru	Avian	EPI_ISL_17777529	Instituto Nacional de Salud Peru	Laboratorio de Virus Respiratorios, Centro Nacional de Salud Publica
A/peruvian_booby/Peru/CAL-INS-007/2023	2023-03-17	avian_flu	South America	Peru	Avian	EPI_ISL_17777528	Instituto Nacional de Salud Peru	Laboratorio de Virus Respiratorios, Centro Nacional de Salud Publica
A/peruvian_booby/Peru/LIM-INS-005/2023	2023-03-20	avian_flu	South America	Peru	Avian	EPI_ISL_17777526	Instituto Nacional de Salud Peru	Laboratorio de Virus Respiratorios, Centro Nacional de Salud Publica
A/peruvian_booby/Peru/LIM-INS-004/2023	2023-04-03	avian_flu	South America	Peru	Avian	EPI_ISL_17777525	Instituto Nacional de Salud Peru	Laboratorio de Virus Respiratorios, Centro Nacional de Salud Publica
A/Peruvian_booby/Peru/UNMSM-A296/2022	2022-12	avian_flu	South America	Peru	Avian	EPI_ISL_18371666	?	?
A/Guanay_cormorant/Peru/UNMSM-A275/2022	2022-12	avian_flu	South America	Peru	Avian	EPI_ISL_18371665	?	?
A/pelican/Peru/PIU-028/2022	2022-11-24	avian_flu	South America	Peru	Avian	EPI_ISL_18054507	?	?
A/pelican/Peru/PIU-019/2022	2022-11-24	avian_flu	South America	Peru	Avian	EPI_ISL_18054506	?	?
A/pelican/Peru/PIU-013/2022	2022-11-23	avian_flu	South America	Peru	Avian	EPI_ISL_18054504	?	?
A/sanderling/Peru/PIU-005/2022	2022-11-22	avian_flu	South America	Peru	Avian	EPI_ISL_18054501	?	?
A/guanay_cormorant/Peru/PIU-024/2022	2022-11-24	avian_flu	South America	Peru	Avian	EPI_ISL_18054500	?	?
A/black_crowned_night_heron/Antofagasta/228705-2/2022	2022-12-20	avian_flu	South America	Chile	Avian	EPI_ISL_18005786	?	?
A/whimbrel/Valparaiso/239946/2023	2023-03-05	avian_flu	South America	Chile	Avian	EPI_ISL_17885987	?	?
A/pelican/Valparaiso/233447-2/2023	2023-01-21	avian_flu	South America	Chile	Avian	EPI_ISL_17885985	?	?
A/pelican/Valparaiso/233450-1/2023	2023-01-23	avian_flu	South America	Chile	Avian	EPI_ISL_17885983	?	?
A/pelican/Valparaiso/234040/2023	2023-01-25	avian_flu	South America	Chile	Avian	EPI_ISL_17885982	?	?
A/sanderling/Arica_y_Parinacota/230758-1/2022	2022-12-30	avian_flu	South America	Chile	Avian	EPI_ISL_17885980	?	?
A/sanderling/Arica_y_Parinacota/240265/2023	2023-03-03	avian_flu	South America	Chile	Avian	EPI_ISL_17885978	?	?
A/tern/Maule/238507/2023	2023-02-23	avian_flu	South America	Chile	Avian	EPI_ISL_17885973	?	?
A/turkey_vulture/Antofagasta/228252-1/2022	2022-12-17	avian_flu	South America	Chile	Avian	EPI_ISL_17885970	?	?
A/heron/Antofagasta/228705-3/2022	2022-12-20	avian_flu	South America	Chile	Avian	EPI_ISL_17885969	?	?
A/turkey_vulture/Valparaiso/230187-1/2022	2022-12-31	avian_flu	South America	Chile	Avian	EPI_ISL_17885968	?	?
A/blackish_oystercatcher/OHiggins/240628/2023	2023-03-06	avian_flu	South America	Chile	Avian	EPI_ISL_17885967	?	?
A/chiloe_wigeon/OHiggins/240893-2/2023	2023-03-09	avian_flu	South America	Chile	Avian	EPI_ISL_17885965	?	?
A/whimbrel/Coquimbo/239964/2023	2023-03-05	avian_flu	South America	Chile	Avian	EPI_ISL_17885960	?	?
A/pelican/Valparaiso/233091-2/2023	2023-01-20	avian_flu	South America	Chile	Avian	EPI_ISL_17885956	?	?
A/elegant_tern/Arica_y_Parinacota/229476-1/2022	2022-12-24	avian_flu	South America	Chile	Avian	EPI_ISL_17885955	?	?
A/elegant_tern/Tarapaca/229133-1/2022	2022-12-23	avian_flu	South America	Chile	Avian	EPI_ISL_17885953	?	?
A/great_egret/Araucania/240518/2023	2023-03-07	avian_flu	South America	Chile	Avian	EPI_ISL_17885950	?	?
A/pelican/Antofagasta/228244-2/2022	2022-12-16	avian_flu	South America	Chile	Avian	EPI_ISL_17885944	?	?
A/pelican/Tarapaca/227436-2/2022	2022-12-09	avian_flu	South America	Chile	Avian	EPI_ISL_17885942	?	?
A/pelican/Antofagasta/228246-2/2022	2022-12-15	avian_flu	South America	Chile	Avian	EPI_ISL_17885934	?	?
A/pelican/Valparaiso/233418-1/2023	2023-01-20	avian_flu	South America	Chile	Avian	EPI_ISL_17885932	?	?
A/pelican/Antofagasta/228246-3/2022	2022-12-15	avian_flu	South America	Chile	Avian	EPI_ISL_17885931	?	?
A/pelican/Valparaiso/233091-1/2023	2023-01-20	avian_flu	South America	Chile	Avian	EPI_ISL_17885930	?	?
A/pelican/Antofagasta/228272-1/2022	2022-12-18	avian_flu	South America	Chile	Avian	EPI_ISL_17885929	?	?
A/pelican/Antofagasta/228318-1/2022	2022-12-16	avian_flu	South America	Chile	Avian	EPI_ISL_17885928	?	?
A/pelican/Atacama/229424-2/2022	2022-12-22	avian_flu	South America	Chile	Avian	EPI_ISL_17885927	?	?
A/pelican/Atacama/229450-2/2022	2022-12-26	avian_flu	South America	Chile	Avian	EPI_ISL_17885926	?	?
A/pelican/Atacama/230158-1/2022	2022-12-30	avian_flu	South America	Chile	Avian	EPI_ISL_17885925	?	?
A/pelican/Atacama/230158-2/2022	2022-12-30	avian_flu	South America	Chile	Avian	EPI_ISL_17885924	?	?
A/pelican/Coquimbo/230310-1/2023	2023-01-02	avian_flu	South America	Chile	Avian	EPI_ISL_17885923	?	?
A/pelican/Coquimbo/231946-1/2023	2023-01-14	avian_flu	South America	Chile	Avian	EPI_ISL_17885922	?	?
A/pelican/Maule/231155-2/2023	2023-01-09	avian_flu	South America	Chile	Avian	EPI_ISL_17885921	?	?
A/pelican/Nuble/233947-2/2023	2023-01-26	avian_flu	South America	Chile	Avian	EPI_ISL_17885918	?	?
A/pelican/OHiggins/233663-1/2023	2023-01-24	avian_flu	South America	Chile	Avian	EPI_ISL_17885915	?	?
A/pelican/OHiggins/233721-1/2023	2023-01-24	avian_flu	South America	Chile	Avian	EPI_ISL_17885912	?	?
A/black_skimmer/Maule/240379/2023	2023-03-06	avian_flu	South America	Chile	Avian	EPI_ISL_17885849	?	?
A/pelican/Peru/AISA0464/2022	2022-11-22	avian_flu	South America	Peru	Avian	EPI_ISL_17806003	?	?
A/pelican/Peru/AIS0541/2022	2022-11-16	avian_flu	South America	Peru	Avian	EPI_ISL_17806002	?	?
A/pelican/Peru/AIS0538/2022	2022-11-10	avian_flu	South America	Peru	Avian	EPI_ISL_17806000	?	?
A/avian/Peru/AISA0451/2022	2022-11-22	avian_flu	South America	Peru	Avian	EPI_ISL_17805998	?	?
A/avian/Peru/AISA0446/2022	2022-11-22	avian_flu	South America	Peru	Avian	EPI_ISL_17805997	?	?
