strain	date	virus	region	country	host	isolate_id	submitting_lab	originating_lab
A/Congo/357/2018	2018-06-14	h3n2_flu	Africa	DRC	Human	EPI_ISL_320349	Centers for Disease Control and Prevention	INRB Service de Virologie
A/Egypt/5730/2018	2018-09-20	h3n2_flu	Africa	Egypt	Human	EPI_ISL_336077	Crick Worldwide Influenza Centre	Ministry of Health and Population
A/Egypt/5816/2018	2018-09-28	h3n2_flu	Africa	Egypt	Human	EPI_ISL_336078	Crick Worldwide Influenza Centre	Ministry of Health and Population
A/Kenya/156/2018	2018-07-23	h3n2_flu	Africa	Kenya	Human	EPI_ISL_336502	Centers for Disease Control and Prevention	CDC-Kenya
A/Nigeria/3631/2018	2018-11-08	h3n2_flu	Africa	Nigeria	Human	EPI_ISL_353449	Centers for Disease Control and Prevention	National Influenza Reference Laboratory
A/Kenya/111/2019	2019-02-04	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362155	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/110/2019	2019-02-13	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362156	Centers for Disease Control and Prevention	CDC-Kenya
A/Niger/6531/2019	2019-01-30	h3n2_flu	Africa	Niger	Human	EPI_ISL_362170	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Niger/6545/2019	2019-01-31	h3n2_flu	Africa	Niger	Human	EPI_ISL_362172	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Niger/6435/2019	2019-01-14	h3n2_flu	Africa	Niger	Human	EPI_ISL_362173	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Niger/6450/2019	2019-01-14	h3n2_flu	Africa	Niger	Human	EPI_ISL_362175	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Mali/18/2019	2019-02-03	h3n2_flu	Africa	Mali	Human	EPI_ISL_362178	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Niger/6513/2019	2019-01-28	h3n2_flu	Africa	Niger	Human	EPI_ISL_362179	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Mali/38/2019	2019-02-05	h3n2_flu	Africa	Mali	Human	EPI_ISL_362182	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/39/2019	2019-02-04	h3n2_flu	Africa	Mali	Human	EPI_ISL_362188	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Kenya/113/2019	2019-02-18	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362213	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/112/2019	2019-02-18	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362214	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/109/2019	2019-02-11	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362217	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/108/2019	2019-02-11	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362218	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/107/2019	2019-02-11	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362219	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/106/2019	2019-02-04	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362220	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/105/2019	2019-02-04	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362221	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/103/2019	2019-01-21	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362223	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/118/2019	2019-01-07	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362224	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/117/2019	2019-02-19	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362225	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/116/2019	2019-02-19	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362226	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/119/2019	2019-02-25	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362227	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/115/2019	2019-02-18	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362228	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/120/2019	2019-02-25	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362230	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/121/2019	2019-02-25	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362231	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/122/2019	2019-02-26	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362232	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/114/2019	2019-02-18	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362233	Centers for Disease Control and Prevention	CDC-Kenya
A/Tanzania/3117/2019	2019-03-14	h3n2_flu	Africa	Tanzania	Human	EPI_ISL_362245	Centers for Disease Control and Prevention	National Influenza Lab
A/Tanzania/823/2019	2019-03-24	h3n2_flu	Africa	Tanzania	Human	EPI_ISL_362246	Centers for Disease Control and Prevention	National Influenza Lab
A/Tanzania/523/2019	2019-03-19	h3n2_flu	Africa	Tanzania	Human	EPI_ISL_362250	Centers for Disease Control and Prevention	National Influenza Lab
A/Tanzania/3112/2019	2019-03-03	h3n2_flu	Africa	Tanzania	Human	EPI_ISL_362252	Centers for Disease Control and Prevention	National Influenza Lab
A/Tanzania/4024/2019	2019-03-03	h3n2_flu	Africa	Tanzania	Human	EPI_ISL_362254	Centers for Disease Control and Prevention	National Influenza Lab
A/Tanzania/5422/2019	2019-03-18	h3n2_flu	Africa	Tanzania	Human	EPI_ISL_362341	Centers for Disease Control and Prevention	National Influenza Lab
A/Niger/6436/2019	2019-01-14	h3n2_flu	Africa	Niger	Human	EPI_ISL_362388	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Niger/6433/2019	2019-01-09	h3n2_flu	Africa	Niger	Human	EPI_ISL_362389	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Mali/32/2019	2019-01-31	h3n2_flu	Africa	Mali	Human	EPI_ISL_362390	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Niger/6432/2019	2019-01-09	h3n2_flu	Africa	Niger	Human	EPI_ISL_362391	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Niger/6551/2019	2019-02-05	h3n2_flu	Africa	Niger	Human	EPI_ISL_362393	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Mali/41/2019	2019-02-05	h3n2_flu	Africa	Mali	Human	EPI_ISL_362394	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/South_Africa/R06864/2019	2019-06-10	h3n2_flu	Africa	South Africa	Human	EPI_ISL_376956	WHO Collaborating Centre for Reference and Research on Influenza	National Institute for Communicable Disease
A/South_Africa/R06338/2019	2019-06-04	h3n2_flu	Africa	South Africa	Human	EPI_ISL_376957	WHO Collaborating Centre for Reference and Research on Influenza	National Institute for Communicable Disease
A/South_Africa/R05878/2019	2019-05-23	h3n2_flu	Africa	South Africa	Human	EPI_ISL_376958	WHO Collaborating Centre for Reference and Research on Influenza	National Institute for Communicable Disease
A/South_Africa/R06415/2019	2019-06-04	h3n2_flu	Africa	South Africa	Human	EPI_ISL_376959	WHO Collaborating Centre for Reference and Research on Influenza	National Institute for Communicable Disease
A/South_Africa/R05117/2019	2019-05-13	h3n2_flu	Africa	South Africa	Human	EPI_ISL_376960	WHO Collaborating Centre for Reference and Research on Influenza	National Institute for Communicable Disease
A/South_Africa/R03989/2019	2019-04-12	h3n2_flu	Africa	South Africa	Human	EPI_ISL_376961	WHO Collaborating Centre for Reference and Research on Influenza	National Institute for Communicable Disease
A/Burkina_Faso/31/2019	2019-02-19	h3n2_flu	Africa	Burkina Faso	Human	EPI_ISL_377673	Centers for Disease Control and Prevention	IRSS
A/Burkina_Faso/15/2019	2019-02-19	h3n2_flu	Africa	Burkina Faso	Human	EPI_ISL_377674	Centers for Disease Control and Prevention	IRSS
A/Burkina_Faso/1/2019	2019-02-19	h3n2_flu	Africa	Burkina Faso	Human	EPI_ISL_377675	Centers for Disease Control and Prevention	IRSS
A/Madagascar/145/2019	2019-01-07	h3n2_flu	Africa	Madagascar	Human	EPI_ISL_377899	Centers for Disease Control and Prevention	Institut Pasteur de Madagascar
A/Madagascar/889/2019	2019-02-04	h3n2_flu	Africa	Madagascar	Human	EPI_ISL_377900	Centers for Disease Control and Prevention	Institut Pasteur de Madagascar
A/Madagascar/617/2019	2019-01-23	h3n2_flu	Africa	Madagascar	Human	EPI_ISL_377901	Centers for Disease Control and Prevention	Institut Pasteur de Madagascar
A/Madagascar/224/2019	2019-01-09	h3n2_flu	Africa	Madagascar	Human	EPI_ISL_377902	Centers for Disease Control and Prevention	Institut Pasteur de Madagascar
A/Madagascar/326/2019	2019-02-26	h3n2_flu	Africa	Madagascar	Human	EPI_ISL_377904	Centers for Disease Control and Prevention	Institut Pasteur de Madagascar
A/Mali/030/2019	2019-02-13	h3n2_flu	Africa	Mali	Human	EPI_ISL_393566	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/047/2019	2019-02-18	h3n2_flu	Africa	Mali	Human	EPI_ISL_393567	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/032/2019	2019-02-25	h3n2_flu	Africa	Mali	Human	EPI_ISL_393568	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/033/2019	2019-02-25	h3n2_flu	Africa	Mali	Human	EPI_ISL_393569	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/052/2019	2019-02-27	h3n2_flu	Africa	Mali	Human	EPI_ISL_393571	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/028/2019	2019-02-28	h3n2_flu	Africa	Mali	Human	EPI_ISL_393572	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/077/2019	2019-03-03	h3n2_flu	Africa	Mali	Human	EPI_ISL_393574	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
