A/Congo/416/2018	2018-07-05	h3n2_flu	Africa	DRC	Human	EPI_ISL_320344	Centers for Disease Control and Prevention	INRB Service de Virologie
A/Congo/422/2018	2018-07-10	h3n2_flu	Africa	DRC	Human	EPI_ISL_320345	Centers for Disease Control and Prevention	INRB Service de Virologie
A/Congo/357/2018	2018-06-14	h3n2_flu	Africa	DRC	Human	EPI_ISL_320349	Centers for Disease Control and Prevention	INRB Service de Virologie
A/Egypt/5730/2018	2018-09-20	h3n2_flu	Africa	Egypt	Human	EPI_ISL_336077	Crick Worldwide Influenza Centre	Ministry of Health and Population
A/Egypt/5816/2018	2018-09-28	h3n2_flu	Africa	Egypt	Human	EPI_ISL_336078	Crick Worldwide Influenza Centre	Ministry of Health and Population
A/Egypt/6213/2018	2018-10-22	h3n2_flu	Africa	Egypt	Human	EPI_ISL_336079	Crick Worldwide Influenza Centre	Ministry of Health and Population
A/Kenya/155/2018	2018-07-17	h3n2_flu	Africa	Kenya	Human	EPI_ISL_336501	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/156/2018	2018-07-23	h3n2_flu	Africa	Kenya	Human	EPI_ISL_336502	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/157/2018	2018-07-24	h3n2_flu	Africa	Kenya	Human	EPI_ISL_336503	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/158/2018	2018-07-30	h3n2_flu	Africa	Kenya	Human	EPI_ISL_336504	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/154/2018	2018-07-16	h3n2_flu	Africa	Kenya	Human	EPI_ISL_336544	Centers for Disease Control and Prevention	CDC-Kenya
A/Nigeria/3631/2018	2018-11-08	h3n2_flu	Africa	Nigeria	Human	EPI_ISL_353449	Centers for Disease Control and Prevention	National Influenza Reference Laboratory
A/Burkina_Faso/2405/2018	2018-11-10	h3n2_flu	Africa	Burkina Faso	Human	EPI_ISL_353513	Centers for Disease Control and Prevention	IRSS
A/Burkina_Faso/972/2018	2018-11-01	h3n2_flu	Africa	Burkina Faso	Human	EPI_ISL_353514	Centers for Disease Control and Prevention	IRSS
A/Burkina_Faso/2401/2018	2018-11-07	h3n2_flu	Africa	Burkina Faso	Human	EPI_ISL_353543	Centers for Disease Control and Prevention	IRSS
A/Burkina_Faso/2406/2018	2018-11-10	h3n2_flu	Africa	Burkina Faso	Human	EPI_ISL_353545	Centers for Disease Control and Prevention	IRSS
A/Mali/057/2018	2018-10-08	h3n2_flu	Africa	Mali	Human	EPI_ISL_353702	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Zambia/4-352/2018	2018-09-03	h3n2_flu	Africa	Zambia	Human	EPI_ISL_361964	Crick Worldwide Influenza Centre	University Teaching Hospital, MoH Zambia
A/Kenya/111/2019	2019-02-04	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362155	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/110/2019	2019-02-13	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362156	Centers for Disease Control and Prevention	CDC-Kenya
A/Niger/6531/2019	2019-01-30	h3n2_flu	Africa	Niger	Human	EPI_ISL_362170	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Niger/6545/2019	2019-01-31	h3n2_flu	Africa	Niger	Human	EPI_ISL_362172	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Niger/6435/2019	2019-01-14	h3n2_flu	Africa	Niger	Human	EPI_ISL_362173	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Niger/6450/2019	2019-01-14	h3n2_flu	Africa	Niger	Human	EPI_ISL_362175	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Mali/26/2019	2019-02-04	h3n2_flu	Africa	Mali	Human	EPI_ISL_362177	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/18/2019	2019-02-03	h3n2_flu	Africa	Mali	Human	EPI_ISL_362178	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Niger/6513/2019	2019-01-28	h3n2_flu	Africa	Niger	Human	EPI_ISL_362179	Centers for Disease Control and Prevention	Centre de Recherche Medicale et Sanitaire (CERMES)
A/Mali/42/2019	2019-02-05	h3n2_flu	Africa	Mali	Human	EPI_ISL_362180	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/43/2019	2019-02-05	h3n2_flu	Africa	Mali	Human	EPI_ISL_362181	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/38/2019	2019-02-05	h3n2_flu	Africa	Mali	Human	EPI_ISL_362182	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Mali/39/2019	2019-02-04	h3n2_flu	Africa	Mali	Human	EPI_ISL_362188	Centers for Disease Control and Prevention	NIC Lab CVD-MALI
A/Burkina_Faso/2417/2018	2018-11-22	h3n2_flu	Africa	Burkina Faso	Human	EPI_ISL_362190	Centers for Disease Control and Prevention	IRSS
A/Burkina_Faso/1035/2018	2018-11-23	h3n2_flu	Africa	Burkina Faso	Human	EPI_ISL_362191	Centers for Disease Control and Prevention	IRSS
A/Burkina_Faso/2410/2018	2018-11-18	h3n2_flu	Africa	Burkina Faso	Human	EPI_ISL_362192	Centers for Disease Control and Prevention	IRSS
A/Burkina_Faso/1042/2018	2018-11-26	h3n2_flu	Africa	Burkina Faso	Human	EPI_ISL_362193	Centers for Disease Control and Prevention	IRSS
A/Burkina_Faso/1055/2018	2018-11-30	h3n2_flu	Africa	Burkina Faso	Human	EPI_ISL_362203	Centers for Disease Control and Prevention	IRSS
A/Kenya/113/2019	2019-02-18	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362213	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/112/2019	2019-02-18	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362214	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/109/2019	2019-02-11	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362217	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/108/2019	2019-02-11	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362218	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/107/2019	2019-02-11	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362219	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/106/2019	2019-02-04	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362220	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/105/2019	2019-02-04	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362221	Centers for Disease Control and Prevention	CDC-Kenya
A/Kenya/104/2019	2019-02-04	h3n2_flu	Africa	Kenya	Human	EPI_ISL_362222	Centers for Disease Control and Prevention	CDC-Kenya
