strain	date	virus	region	country	host	isolate_id	submitting_lab	originating_lab
A/Brazil/6356/2018	2018-06-11	h3n2_flu	South America	Brazil	Human	EPI_ISL_319713	Centers for Disease Control and Prevention	Instituto Adolfo Lutz
A/Argentina/70/2018	2018-06-14	h3n2_flu	South America	Argentina	Human	EPI_ISL_319732	Centers for Disease Control and Prevention	Instituto Nacional de Enfermedades Infecciosas
A/Argentina/71/2018	2018-06-18	h3n2_flu	South America	Argentina	Human	EPI_ISL_320270	Centers for Disease Control and Prevention	Instituto Nacional de Enfermedades Infecciosas
A/Argentina/56/2018	2018-06-07	h3n2_flu	South America	Argentina	Human	EPI_ISL_320271	Centers for Disease Control and Prevention	Instituto Nacional de Enfermedades Infecciosas
A/Minas_Gerais/938/2018	2018-07-13	h3n2_flu	South America	Brazil	Human	EPI_ISL_345593	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	FUNED MG
A/Minas_Gerais/941/2018	2018-07-06	h3n2_flu	South America	Brazil	Human	EPI_ISL_345594	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	FUNED MG
A/Bahia/952/2018	2018-07-10	h3n2_flu	South America	Brazil	Human	EPI_ISL_345595	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central de Saúde Pública Professor Gonçalo Moniz, LACEN-BA
A/Santa_Catarina/1200/2018	2018-09-02	h3n2_flu	South America	Brazil	Human	EPI_ISL_345597	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	LACEN SC
A/Parana/1256/2018	2018-09-03	h3n2_flu	South America	Brazil	Human	EPI_ISL_345598	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central do Estado do Paraná - LACEN/PR
A/Parana/1257/2018	2018-09-02	h3n2_flu	South America	Brazil	Human	EPI_ISL_345599	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central do Estado do Paraná - LACEN/PR
A/Santa_Catarina/1284/2018	2018-09-30	h3n2_flu	South America	Brazil	Human	EPI_ISL_345601	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	LACEN SC
A/Parana/1313/2018	2018-09-29	h3n2_flu	South America	Brazil	Human	EPI_ISL_345603	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central do Estado do Paraná - LACEN/PR
A/Parana/1315/2018	2018-10-24	h3n2_flu	South America	Brazil	Human	EPI_ISL_345604	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central do Estado do Paraná - LACEN/PR
A/Parana/1321/2018	2018-09-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_345605	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Laboratório Central do Estado do Paraná - LACEN/PR
A/Santa_Catarina/1182/2018	2018-09-01	h3n2_flu	South America	Brazil	Human	EPI_ISL_345609	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	LACEN SC
A/Paraguay/9627/2019	2019-03-26	h3n2_flu	South America	Paraguay	Human	EPI_ISL_378075	Centers for Disease Control and Prevention	Central Laboratory of Public Health
A/Paraguay/1685/2019	2019-04-04	h3n2_flu	South America	Paraguay	Human	EPI_ISL_378076	Centers for Disease Control and Prevention	Central Laboratory of Public Health
A/Paraguay/7603/2019	2019-04-30	h3n2_flu	South America	Paraguay	Human	EPI_ISL_378077	Centers for Disease Control and Prevention	Central Laboratory of Public Health
A/Paraguay/0247/2019	2019-05-12	h3n2_flu	South America	Paraguay	Human	EPI_ISL_378078	Centers for Disease Control and Prevention	Central Laboratory of Public Health
A/Paraguay/1714/2019	2019-05-18	h3n2_flu	South America	Paraguay	Human	EPI_ISL_378079	Centers for Disease Control and Prevention	Central Laboratory of Public Health
A/Paraguay/3969/2019	2019-05-25	h3n2_flu	South America	Paraguay	Human	EPI_ISL_378080	Centers for Disease Control and Prevention	Central Laboratory of Public Health
A/Parana/411/2019	2019-05-05	h3n2_flu	South America	Brazil	Human	EPI_ISL_378104	Centers for Disease Control and Prevention	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Espirito_Santo/372/2019	2019-04-21	h3n2_flu	South America	Brazil	Human	EPI_ISL_378105	Centers for Disease Control and Prevention	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Alagoas/280/2019	2019-05-14	h3n2_flu	South America	Brazil	Human	EPI_ISL_378108	Centers for Disease Control and Prevention	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Espirito_Santo/190/2019	2019-04-02	h3n2_flu	South America	Brazil	Human	EPI_ISL_378109	Centers for Disease Control and Prevention	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
A/Hanga_Roa/44910/2019	2019-05-19	h3n2_flu	South America	Chile	Human	EPI_ISL_378111	Centers for Disease Control and Prevention	Instituto de Salud Publica de Chile
A/Santiago/42040/2019	2019-05-10	h3n2_flu	South America	Chile	Human	EPI_ISL_378112	Centers for Disease Control and Prevention	Instituto de Salud Publica de Chile
A/Rancagua/40889/2019	2019-04-30	h3n2_flu	South America	Chile	Human	EPI_ISL_378113	Centers for Disease Control and Prevention	Instituto de Salud Publica de Chile
